,index,cardId,cardType,name,img,regulation,setNum,setCount,rarity,dexNum,dexClass,height,weight,dexDesc,author,desc,stage,hp,pType,ability,abilityDesc,waza1Cost,waza1Name,waza1Damage,waza1Desc,waza2Cost,waza2Name,waza2Damage,waza2Desc,GXCost,GXName,GXDamage,GXDesc,weakType,weakValue,resistType,resistValue,escape,spRule
10,11,30011,pokemon,ヒヤップ,/assets/images/card_images/large/HXY/030011_P_HIYAPPU.jpg,HXY,11,39,,515,みずかけポケモン,0.6,13.5,頭の房に ためこんだ 水は 栄養 たっぷり。 尻尾を使って その 水を 草木に かけている。,Shin Nagasawa,,たね,70,['water'],,,['none'],もってくる,,自分の山札を1枚引く。,"['none', 'none']",みだれひっかき,10×,コインを3回投げ、オモテの数×10ダメージ。,,,,,grass,×2,,,1,
11,12,30012,pokemon,ケロマツ,/assets/images/card_images/large/HXY/030012_P_KEROMATSU.jpg,HXY,12,39,,656,あわがえるポケモン,0.3,7.0,胸と 背中から 泡を 出す。 弾力のある 泡で 攻撃を 受け止めて ダメージを 減らす。,5ban Graphics,,たね,60,['water'],,,['water'],はたく,10,,"['water', 'none']",みずきり,20,,,,,,grass,×2,,,1,
12,13,30013,pokemon,ゲコガシラ,/assets/images/card_images/large/HXY/030013_P_GEKOGASHIRA.jpg,HXY,13,39,,657,あわがえるポケモン,0.6,10.9,泡で 包んだ 小石を 投げる 技を 使う。 ３０メートル 先の 空き缶に 当てる コントロール。,5ban Graphics,,1 進化,80,['water'],,,['water'],みずきり,20,,"['water', 'water', 'none']",アクアウェーブ,40＋,コインを2回投げ、オモテの数×20ダメージを追加。,,,,,grass,×2,,,1,
13,14,30014,pokemon,ゲッコウガ,/assets/images/card_images/large/HXY/030014_P_GEKKOUGA.jpg,HXY,14,39,,658,しのびポケモン,1.5,40.0,水を 圧縮して 手裏剣を 作り出す。 高速回転させて 飛ばすと 金属も 真っ二つ。,5ban Graphics,,2 進化,140,['water'],,,['water'],たたみがえし,40,コインを1回投げオモテなら、相手のバトルポケモンについているエネルギーを1個選び、トラッシュする。,"['water', 'water', 'none']",アクアエッジ,80,,,,,,grass,×2,,,1,
14,15,30015,pokemon,ウデッポウ,/assets/images/card_images/large/HXY/030015_P_UDEPPOU.jpg,HXY,15,39,,692,みずでっぽうポケモン,0.5,8.3,大きな ハサミから 圧縮した 水を ピストルのように 撃ち出し 飛んでいる 獲物を 撃ち落とす。,5ban Graphics,,たね,70,['water'],,,"['water', 'none']",みずでっぽう,20,,,,,,,,,,grass,×2,,,1,
15,16,30016,pokemon,ポチエナ,/assets/images/card_images/large/HXY/030016_P_POCHIENA.jpg,HXY,16,39,,261,かみつきポケモン,0.5,13.6,しつこい 性格の ポケモン。 目をつけた 獲物が ヘトヘトに 疲れるまで 追いかけ回す。,Mizue,,たね,60,['dark'],,,"['dark', 'none']",かみつく,20,,,,,,,,,,fighting,×2,psychic,－20,1,
16,17,30017,pokemon,グラエナ,/assets/images/card_images/large/HXY/030017_P_GURAENA.jpg,HXY,17,39,,262,かみつきポケモン,1.0,37.0,優れた トレーナーの 命令には 絶対に 服従。 大昔に 群れで 行動していた 名残り。,Mitsuhiro Arita,,1 進化,90,['dark'],,,"['dark', 'none']",ハードバイト,40＋,コインを1回投げオモテなら、20ダメージを追加。,,,,,,,,,fighting,×2,psychic,－20,1,
17,18,30018,pokemon,マーイーカ,/assets/images/card_images/large/HXY/030018_P_MAIKA.jpg,HXY,18,39,,686,かいてんポケモン,0.4,3.5,発光体の 点滅を 見つめた 相手は 目が くらみ 戦う 気持ちが なくなってしまうのだ。,5ban Graphics,,たね,60,['dark'],,,['dark'],つつく,10,,,,,,,,,,fighting,×2,psychic,－20,1,
18,19,30019,pokemon,コマタナ,/assets/images/card_images/large/HXY/030019_P_KOMATANA.jpg,HXY,19,39,,624,はものポケモン,0.5,10.2,全身が 刃物の ポケモン。 戦いで 刃こぼれすると 河原の 石で 刃を とぐ。,Kouki Saitou,,たね,60,['steel'],,,['steel'],つきさす,10,,"['none', 'none']",いあいぎり,20,,,,,,fire,×2,psychic,－20,1,
19,20,30020,pokemon,キリキザン,/assets/images/card_images/large/HXY/030020_P_KIRIKIZAN.jpg,HXY,20,39,,625,とうじんポケモン,1.6,70.0,数匹の コマタナを 戦わせ 傷つき 動けなくなった 獲物を 真っ二つにする 怖い ポケモン。,Kagemaru Himeno,,1 進化,90,['steel'],,,['steel'],じごくづき,20,コインを1回投げオモテなら、相手のバトルポケモンをマヒにする。,"['steel', 'none', 'none']",メタルクロー,70,,,,,,fire,×2,psychic,－20,1,
20,21,30021,pokemon,ヒトツキ,/assets/images/card_images/large/HXY/030021_P_HITOTSUKI.jpg,HXY,21,39,,679,とうけんポケモン,0.8,2.0,死者の 魂が 古代の 剣に 宿って 生まれたらしい。 人に とりつき 命を 吸う。,5ban Graphics,,たね,60,['steel'],,,"['steel', 'none']",れんぞくスラッシュ,30×,ウラが出るまでコインを投げ続け、オモテの数×30ダメージ。,,,,,,,,,fire,×2,psychic,－20,2,
21,22,30022,pokemon,ブルー,/assets/images/card_images/large/HXY/030022_P_BURU.jpg,HXY,22,39,,209,ようせいポケモン,0.6,7.8,活発で 遊び好きな 性格。 懐いてくれるので 一緒に 遊びたがる 女性も 多い。,Naoki Saito,,たね,70,['fairy'],,,"['fairy', 'none']",ずつき,20,,,,,,,,,,steel,×2,dark,－20,2,
22,23,30023,pokemon,グランブル,/assets/images/card_images/large/HXY/030023_P_GURANBURU.jpg,HXY,23,39,,210,ようせいポケモン,1.4,48.7,顔に 似合わず 臆病。 しかし ひとたび 怒りはじめると 大きな キバで 反撃する。,Masakazu Fukuda,,1 進化,100,['fairy'],,,"['fairy', 'none']",ずつき,30,,"['fairy', 'none', 'none']",ダブルスタンプ,50＋,コインを2回投げ、オモテの数×20ダメージを追加。,,,,,steel,×2,dark,－20,3,
23,24,30024,pokemon,ペロッパフ,/assets/images/card_images/large/HXY/030024_P_PEROPPAFU.jpg,HXY,24,39,,684,わたあめポケモン,0.4,3.5,わたあめのような 甘くて ベタつく 白い 糸を 出して 相手を 絡め取り 動きを 封じる。,5ban Graphics,,たね,60,['fairy'],,,['fairy'],ドレインキッス,10,このポケモンのHPを「10」回復する。,,,,,,,,,steel,×2,dark,－20,1,
24,25,30025,pokemon,カモネギ,/assets/images/card_images/large/HXY/030025_P_KAMONEGI.jpg,HXY,25,39,,83,かるがもポケモン,0.8,15.0,持っている 茎は 大切な 武器でもあり 刀を 振るように いろんな ものを 切ることができる。,Kagemaru Himeno,,たね,70,['none'],,,['none'],きりさく,30,,,,,,,,,,electric,×2,fighting,－20,1,
25,26,30026,pokemon,カビゴン,/assets/images/card_images/large/HXY/030026_P_KABIGON.jpg,HXY,26,39,,143,いねむりポケモン,2.1,460.0,１日に 食べ物を ４００キロ 食べないと 気がすまない。 食べ終わると 眠ってしまう。,Naoki Saito,,たね,120,['none'],,,"['none', 'none', 'none']",いわくだき,10＋,コインを1回投げオモテなら、30ダメージを追加。,"['none', 'none', 'none', 'none']",かいりき,70,,,,,,fighting,×2,,,4,
26,27,30027,pokemon,ミルタンク,/assets/images/card_images/large/HXY/030027_P_MIRUTANKU.jpg,HXY,27,39,,241,ちちうしポケモン,1.2,75.5,子供が 生まれたときに しぼられた ミルクには いつもより 栄養が たっぷり つまっている。,Akira Komayama,,たね,100,['none'],,,"['none', 'none', 'none']",ヒップドロップ,50＋,コインを1回投げオモテなら、20ダメージを追加。,,,,,,,,,fighting,×2,,,3,
27,28,30028,pokemon,エネコ,/assets/images/card_images/large/HXY/030028_P_ENEKO.jpg,HXY,28,39,,300,こねこポケモン,0.6,11.0,動くものを つい 追ってしまう。 自分の 尻尾を 追いかけて 同じ 場所を グルグル 回る。,Shin Nagasawa,,たね,60,['none'],,,"['none', 'none']",とびつく,20＋,コインを1回投げオモテなら、20ダメージを追加。,,,,,,,,,fighting,×2,,,1,
28,29,30029,pokemon,ビッパ,/assets/images/card_images/large/HXY/030029_P_BIPPA.jpg,HXY,29,39,,399,まるねずみポケモン,0.5,20.0,なにごとにも 動じない 図太い 神経の 持ち主。 見かけの 割には 機敏に 活動する。,Kouki Saitou,,たね,70,['none'],,,"['none', 'none', 'none']",ころがる,60,,,,,,,,,,fighting,×2,,,2,
29,30,30030,pokemon,ホルビー,/assets/images/card_images/large/HXY/030030_P_HORUBI.jpg,HXY,30,39,,659,あなほりポケモン,0.4,5.0,大きな 耳で 地面を 掘って 巣穴を 作る。 一晩中 休まずに 掘り続けられる。,5ban Graphics,,たね,60,['none'],,,"['none', 'none']",たいあたり,20,,,,,,,,,,fighting,×2,,,1,
30,31,30031,pokemon,ヤヤコマ,/assets/images/card_images/large/HXY/030031_P_YAYAKOMA.jpg,HXY,31,39,,661,コマドリポケモン,0.3,1.7,人懐っこい 性格。 美しい さえずりと 尾羽を 振る 動きで 仲間に 合図を 送る。,5ban Graphics,,たね,50,['none'],,,['none'],かまいたち,20,コインを1回投げウラなら、このワザは失敗。,,,,,,,,,electric,×2,fighting,－20,1,
31,32,30032,pokemon,トリミアン,/assets/images/card_images/large/HXY/030032_P_TORIMIAN.jpg,HXY,32,39,,676,プードルポケモン,1.2,28.0,ボサボサの 体毛を 刈りこむと 姿が 美しくなる だけでなく 身体の キレが 良くなるのだ。,5ban Graphics,,たね,90,['none'],,,"['none', 'none']",にらんでかみつく,20,コインを1回投げオモテなら、相手のバトルポケモンをマヒにする。,"['none', 'none', 'none']",するどいキバ,50,,,,,,fighting,×2,,,1,
32,33,30033,pokemon,トリミアン,/assets/images/card_images/large/HXY/030033_P_TORIMIAN.jpg,HXY,33,39,,676,プードルポケモン,1.2,28.0,ボサボサの 体毛を 刈りこむと 姿が 美しくなる だけでなく 身体の キレが 良くなるのだ。,5ban Graphics,,たね,90,['none'],,,"['none', 'none']",にらんでかみつく,20,コインを1回投げオモテなら、相手のバトルポケモンをマヒにする。,"['none', 'none', 'none']",するどいキバ,50,,,,,,fighting,×2,,,1,
33,34,30034,グッズ,きずぐすり,/assets/images/card_images/large/HXY/030034_T_KIZUGUSURI.jpg,HXY,34,39,,,,,,,5ban Graphics,自分のポケモンを1匹選び、HPを「30」回復する。,,,,,,,,,,,,,,,,,,,,,,,
34,35,30035,グッズ,クラッシュハンマー,/assets/images/card_images/large/HXY/030035_T_KURASSHUHANMA.jpg,HXY,35,39,,,,,,,5ban Graphics,コインを1回投げオモテなら、相手の場のポケモンについているエネルギーを1個選び、トラッシュする。,,,,,,,,,,,,,,,,,,,,,,,
35,36,30036,グッズ,ポケモンいれかえ,/assets/images/card_images/large/HXY/030036_T_POKEMONIREKAE.jpg,HXY,36,39,,,,,,,5ban Graphics,自分のバトルポケモンをベンチポケモンと入れ替える。,,,,,,,,,,,,,,,,,,,,,,,
36,37,30037,グッズ,ポケモンキャッチャー,/assets/images/card_images/large/HXY/030037_T_POKEMONKYACCHA.jpg,HXY,37,39,,,,,,,5ban Graphics,コインを1回投げオモテなら、相手のベンチポケモンを1匹選び、バトルポケモンと入れ替える。,,,,,,,,,,,,,,,,,,,,,,,
37,38,30038,グッズ,モンスターボール,/assets/images/card_images/large/HXY/030038_T_MONSUTABORU.jpg,HXY,38,39,,,,,,,5ban Graphics,コインを1回投げオモテなら、自分の山札からポケモンを1枚選び、相手に見せてから、手札に加える。そして山札を切る。,,,,,,,,,,,,,,,,,,,,,,,
38,39,30039,サポート,ティエルノ,/assets/images/card_images/large/HXY/030039_T_TEIERUNO.jpg,HXY,39,39,,,,,,,Ken Sugimori,自分の山札を3枚引く。,,,,,,,,,,,,,,,,,,,,,,,
39,40,30040,基本エネルギー,基本草エネルギー,/assets/images/card_images/large/HXY/030040_E_KIHONKUSAENERUGI.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,41,30041,基本エネルギー,基本フェアリーエネルギー,/assets/images/card_images/large/HXY/030041_E_KIHONYOUENERUGI.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,42,30042,基本エネルギー,基本炎エネルギー,/assets/images/card_images/large/HXY/030042_E_KIHONHONOOENERUGI.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,43,30043,基本エネルギー,基本悪エネルギー,/assets/images/card_images/large/HXY/030043_E_KIHONAKUENERUGI.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,44,30044,基本エネルギー,基本水エネルギー,/assets/images/card_images/large/HXY/030044_E_KIHONMIZUENERUGI.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,45,30045,基本エネルギー,基本鋼エネルギー,/assets/images/card_images/large/HXY/030045_E_KIHONKOUENERUGI.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,46,30046,pokemon,フシギバナEX,/assets/images/card_images/large/XY1-Bx/030046_P_FUSHIGIBANAEX.jpg,XY1-Bx,1,60,rare_rr,,,,,,Eske Yoshinob,,たね,180,['grass'],,,"['grass', 'none', 'none']",どくのこな,60,相手のバトルポケモンをどくにする。,"['grass', 'grass', 'none', 'none']",ジャングルハンマー,90,このポケモンのHPを「30」回復する。,,,,,fire,×2,,,4,ポケモンEXがきぜつしたとき、相手はサイドを2枚とる。
46,47,30047,pokemon,megaフシギバナEX,/assets/images/card_images/large/XY1-Bx/030047_P_MFUSHIGIBANAEX.jpg,XY1-Bx,2,60,rare_rr,,,,,,5ban Graphics,,M進化,230,['grass'],,,"['grass', 'grass', 'grass', 'none']",クライシスバイン,120,相手のバトルポケモンをどくとマヒにする。,,,,,,,,,fire,×2,,,4,M進化ポケモンになったとき、自分の番は終わる。ポケモンEXがきぜつしたとき、相手はサイドを2枚とる。
47,48,30048,pokemon,バルビート,/assets/images/card_images/large/XY1-Bx/030048_P_BARUBITO.jpg,XY1-Bx,3,60,rare_c_c,313,ほたるポケモン,0.7,17.7,夜になると お尻を 光らせ 仲間と 会話する。 イルミーゼの 出す 甘い 香りが 大好き。,Kanako Eo,,たね,70,['grass'],,,['grass'],さそうひかり,,相手のベンチポケモンを1匹選び、バトルポケモンと入れ替える。,"['grass', 'none']",シグナルビーム,30,相手のバトルポケモンをこんらんにする。,,,,,fire,×2,,,1,
48,49,30049,pokemon,ヤナップ,/assets/images/card_images/large/XY1-Bx/030049_P_YANAPPU.jpg,XY1-Bx,4,60,rare_c_c,511,くさざるポケモン,0.6,10.5,元気の ない ポケモンに 頭の 葉っぱを 分け与える。 疲れを 取る 効果が あるのだ。,Midori Harada,,たね,60,['grass'],,,['grass'],つるのムチ,10,,"['grass', 'none']",やどりぎのタネ,20,このポケモンのHPを「10」回復する。,,,,,fire,×2,,,1,
49,50,30050,pokemon,ヤナッキー,/assets/images/card_images/large/XY1-Bx/030050_P_YANAKKI.jpg,XY1-Bx,5,60,rare_c_c,512,とげざるポケモン,1.1,30.5,トゲの たくさん ついた 尻尾を 相手に たたきつけて 攻撃。 気性の 激しい ポケモン。,Shigenori Negishi,,1 進化,90,['grass'],,,['none'],いちゃもん,20,相手のバトルポケモンが持っているワザを1つ選ぶ。次の相手の番、このワザを受けたポケモンは、選ばれたワザを使えない。,"['grass', 'grass', 'none']",ソーラービーム,70,,,,,,fire,×2,,,1,
50,51,30051,pokemon,コフキムシ,/assets/images/card_images/large/XY1-Bx/030051_P_KOFUKIMUSHI.jpg,XY1-Bx,6,60,rare_c_c,664,こなふきポケモン,0.3,2.5,とりポケモンに 襲われると 黒い 粉を まき散らす。 触れると マヒする 毒の粉だ。,5ban Graphics,,たね,40,['grass'],,,['none'],むしくい,10,,,,,,,,,,fire,×2,,,1,
51,52,30052,pokemon,コフーライ,/assets/images/card_images/large/XY1-Bx/030052_P_KOFURAI.jpg,XY1-Bx,7,60,rare_c_c,665,こなふきポケモン,0.3,8.4,しげみの 陰に 隠れて 暮らす。 敵に 襲われると 体の 毛を 鋭く 逆立てて 威嚇する。,5ban Graphics,,1 進化,80,['grass'],,,['none'],むしくい,10,,"['grass', 'none', 'none']",しびれごな,40,コインを1回投げオモテなら、相手のバトルポケモンをマヒにする。,,,,,fire,×2,,,3,
52,53,30053,pokemon,ビビヨン,/assets/images/card_images/large/XY1-Bx/030053_P_BIBIYON.jpg,XY1-Bx,8,60,rare_r_c,666,りんぷんポケモン,1.2,17.0,世界には さまざまな 羽模様の ビビヨンがいる。 住んでいる 土地の 気候が 影響しているようだ。,5ban Graphics,,2 進化,130,['grass'],,,['grass'],コンバートパウダー,,どくまたはねむりのどちらかを選び、相手のバトルポケモンをその特殊状態にする。,"['none', 'none', 'none']",カラフルウインド,30＋,このポケモンについている基本エネルギーのタイプの数×30ダメージを追加。,,,,,fire,×2,,,1,
53,54,30054,pokemon,メェークル,/assets/images/card_images/large/XY1-Bx/030054_P_MEEKURU.jpg,XY1-Bx,9,60,rare_c_c,672,ライドポケモン,0.9,31.0,人と 暮らすようになった 最初の ポケモンと 言われる。 穏やかな 性格の ポケモン。,5ban Graphics,,たね,70,['grass'],,,['none'],みちびく,,コインを1回投げオモテなら、自分の山札からサポートを1枚選び、相手に見せてから、手札に加える。そして山札を切る。,"['grass', 'none', 'none']",たいあたり,40,,,,,,fire,×2,,,2,
54,55,30055,pokemon,ゴーゴート,/assets/images/card_images/large/XY1-Bx/030055_P_GOGOTO.jpg,XY1-Bx,10,60,rare_r_c,673,ライドポケモン,1.7,91.0,ツノを 握る わずかな 違いから トレーナーの 気持ちを 読み取るので 一体となって 走れるのだ。,5ban Graphics,,1 進化,110,['grass'],,,['none'],みちびく,,自分の山札からサポートを2枚まで選び、相手に見せてから、手札に加える。そして山札を切る。,"['grass', 'none', 'none']",とつげきとっしん,70＋,のぞむなら、20ダメージを追加してよい。その場合、このポケモンにも20ダメージ。,,,,,fire,×2,,,2,
55,56,30056,pokemon,マグマッグ,/assets/images/card_images/large/XY1-Bx/030056_P_MAGUMAGGU.jpg,XY1-Bx,11,60,rare_c_c,218,ようがんポケモン,0.7,35.0,火山地帯に 多く 発生。 暖かい ところを 探して のろのろ はいずり回っている。,Kagemaru Himeno,,たね,70,['fire'],,,"['fire', 'none', 'none']",かえんほうしゃ,50,このポケモンについているエネルギーを1個選び、トラッシュする。,,,,,,,,,water,×2,,,2,
56,57,30057,pokemon,マグカルゴ,/assets/images/card_images/large/XY1-Bx/030057_P_MAGUKARUGO.jpg,XY1-Bx,12,60,rare_c_c,219,ようがんポケモン,0.8,55.0,背中の 殻は 崩れやすいが ときどき 体内を 巡っている 高熱の 炎が 噴き出す。,kawayoo,,1 進化,110,['fire'],,,"['fire', 'none']",マグマントル,30＋,のぞむなら、自分の山札を上から1枚トラッシュしてよい。その場合、トラッシュしたカードがfireエネルギーなら、50ダメージを追加。,"['fire', 'fire', 'none']",ヒートブラスト,80,,,,,,water,×2,,,3,
57,58,30058,pokemon,フォッコ,/assets/images/card_images/large/XY1-Bx/030058_P_FOKKO.jpg,XY1-Bx,13,60,rare_c_c,653,キツネポケモン,0.4,9.4,小枝を 食べると 元気になって 摂氏２００度を 超える 熱気を 大きな 耳から 噴き出す。,5ban Graphics,,たね,50,['fire'],,,['fire'],おにび,20,,,,,,,,,,water,×2,,,1,
58,59,30059,pokemon,テールナー,/assets/images/card_images/large/XY1-Bx/030059_P_TERUNA.jpg,XY1-Bx,14,60,rare_u_c,654,キツネポケモン,1.0,14.5,木の枝を 尻尾に 挿している。 尻尾の 毛の 摩擦熱で 枝に 火をつけて 戦う。,5ban Graphics,,1 進化,80,['fire'],,,['none'],フューチャーアイ,,自分の山札を上から3枚見て、好きな順番に入れ替えて、山札の上にもどす。,"['fire', 'none']",ファイヤーテール,40,このポケモンについているfireエネルギーを1個選び、トラッシュする。,,,,,water,×2,,,1,
59,60,30060,pokemon,マフォクシー,/assets/images/card_images/large/XY1-Bx/030060_P_MAFOKUSHI.jpg,XY1-Bx,15,60,rare_r_c,655,キツネポケモン,1.5,39.0,杖の 先端で 燃える 炎を 見つめて 精神統一すると 未来の 出来事を 見通せる。,5ban Graphics,,2 進化,140,['fire'],マジカルフレイム,自分の手札が6枚になるように、山札を引く。この特性は、自分の番に1回使える。,"['none', 'none', 'none']",ブレイズボール,50＋,このポケモンについているfireエネルギーの数×20ダメージを追加。,,,,,,,,,water,×2,,,2,
60,61,30061,pokemon,ヒトデマン,/assets/images/card_images/large/XY1-Bx/030061_P_HITODEMAN.jpg,XY1-Bx,16,60,rare_c_c,120,ほしがたポケモン,0.8,34.5,体の 中心で 光る コアが ある限り 体が ちぎれても 再生できる。,Sumiyoshi Kizuki,,たね,60,['water'],,,"['water', 'none']",とつげき,30,このポケモンにも10ダメージ。,,,,,,,,,grass,×2,,,1,
61,62,30062,pokemon,スターミー,/assets/images/card_images/large/XY1-Bx/030062_P_SUTAMI.jpg,XY1-Bx,17,60,rare_u_c,121,なぞのポケモン,1.1,80.0,真ん中の コアと呼ばれる 部分は 七色に 輝く。 これを 宝石にする 人も いるという。,Suwama Chiaki,,1 進化,90,['water'],,,['water'],じこさいせい,,このポケモンについているエネルギーを1個選び、トラッシュする。このポケモンのHPをすべて回復する。,"['water', 'none', 'none']",コアスプラッシュ,60＋,このポケモンにpsychicエネルギーがついているなら、30ダメージを追加。,,,,,grass,×2,,,1,
62,63,30063,pokemon,サニーゴ,/assets/images/card_images/large/XY1-Bx/030063_P_SANIGO.jpg,XY1-Bx,18,60,rare_c_c,222,さんごポケモン,0.6,5.0,どんどん 育っては 生えかわる 頭の 先は きれいなので 宝物として 人気が高い。,Kyoko Umemoto,,たね,70,['water'],,,['none'],リフレッシュ,,このポケモンのHPを「30」回復し、特殊状態もすべて回復する。,"['water', 'none']",とげラッシュ,20＋,ウラが出るまでコインを投げ続け、オモテの数×20ダメージを追加。,,,,,grass,×2,,,1,
63,64,30064,pokemon,ケロマツ,/assets/images/card_images/large/XY1-Bx/030064_P_KEROMATSU.jpg,XY1-Bx,19,60,rare_c_c,656,あわがえるポケモン,0.3,7.0,胸と 背中から 泡を 出す。 弾力のある 泡で 攻撃を 受け止めて ダメージを 減らす。,5ban Graphics,,たね,50,['water'],,,['water'],とびはねる,10,コインを1回投げオモテなら、このポケモンをベンチポケモンと入れ替える。,,,,,,,,,grass,×2,,,1,
64,65,30065,pokemon,ゲコガシラ,/assets/images/card_images/large/XY1-Bx/030065_P_GEKOGASHIRA.jpg,XY1-Bx,20,60,rare_u_c,657,あわがえるポケモン,0.6,10.9,泡で 包んだ 小石を 投げる 技を 使う。 ３０メートル 先の 空き缶に 当てる コントロール。,5ban Graphics,,1 進化,80,['water'],,,"['water', 'none']",したでなめる,30,コインを1回投げオモテなら、相手のバトルポケモンをマヒにする。,,,,,,,,,grass,×2,,,1,
